Name,Genre,Developer,dev_link,rating,total,five,four,three,two,one
Offroad US Army Vehicle Driving,Simulation,Zee Vision Games,https://play.google.com/store/apps/developer?id=Zee+Vision+Games,4.3,31,3,2,2,1,23
Voice Translator:All Languages,Tools,JP Brother's Studio,https://play.google.com/store/apps/developer?id=JP+Brother%27s+Studio,4.3,65,5,1,6,13,40
Dream Doll Boutique - Make & Design,Casual,Kiwi Go,https://play.google.com/store/apps/developer?id=Kiwi+Go,4.5,219,12,6,13,21,167
MadLipz Funny video 2018,Video Players & Editors,Eddy active développeur,https://play.google.com/store/apps/developer?id=Eddy+active+d%C3%A9veloppeur,3.8,117,22,6,11,13,65
Aaj ki Taja Khabar : Latest Hindi News India App,News & Magazines,24 NEWSHUNT,https://play.google.com/store/apps/developer?id=24+NEWSHUNT,5,5,0,0,0,0,5
Zee Tv Channel,Entertainment,Creative BD Software,https://play.google.com/store/apps/developer?id=Creative+BD+Software,4.9,11,0,0,0,1,10
Truck Driving Games 2018:Indian Cargo Truck Driver,Simulation,MAD Extreme Viral 3D Games Free,https://play.google.com/store/apps/developer?id=MAD+Extreme+Viral+3D+Games+Free,4.8,13,0,0,1,0,12
Bismillah Photo Frames,Photography,One key,https://play.google.com/store/apps/dev?id=7573930957262121262,4.6,66,2,0,5,11,48
Video Status For Whatsapp,Entertainment,DarkLines Apps,https://play.google.com/store/apps/developer?id=DarkLines+Apps,3.6,8,2,0,1,1,4
Scorpio Car Racing Simulator,Simulation,Nit'X  Games,https://play.google.com/store/apps/developer?id=Nit%27X++Games,4.4,57,6,1,1,7,42
Movie Downloader Torrent,Entertainment,Codexial Technology,https://play.google.com/store/apps/developer?id=Codexial+Technology,4.4,81,9,0,3,9,60
City Pipeline Construction: Plumber work,Simulation,Sablo Games,https://play.google.com/store/apps/developer?id=Sablo+Games,4.3,34,4,1,1,2,26
Snow Storm Moto Avalanche: Mountain Bike Climbing,Racing,Great Games Studio,https://play.google.com/store/apps/developer?id=Great+Games+Studio,4.4,29,3,0,2,2,22
Connect me Internet - Free WiFi Hotspot Portable,Communication,MobileDevGroup,https://play.google.com/store/apps/developer?id=MobileDevGroup,4.5,185,13,4,11,15,142
Flipkart Lite App,Shopping,Lite Appz Developer,https://play.google.com/store/apps/developer?id=Lite+Appz+Developer,4.3,36,5,1,1,1,28
Video downloader for WhatsApp,Photography,DoMobile Lab,https://play.google.com/store/apps/dev?id=8013309201265156122,4.6,24,1,0,1,3,19
How to find vehicle owner by number plate,Auto & Vehicles,vamsikrishna122101,https://play.google.com/store/apps/developer?id=vamsikrishna122101,4.7,63,2,0,3,6,52
Maiam Whistle,Social,Interaction One,https://play.google.com/store/apps/developer?id=Interaction+One,4.9,3131,52,11,34,149,2885
Superhero Captain Robot Flying Newyork City War,Action,Superheroz Action,https://play.google.com/store/apps/developer?id=Superheroz+Action,4.3,429,54,7,23,35,310
Stickman Hunter,Action,Flyz You,https://play.google.com/store/apps/developer?id=Flyz+You,4.5,11,1,0,0,1,9
Ludo,Board,Game Studio Lab,https://play.google.com/store/apps/developer?id=Game+Studio+Lab,4.1,91,10,1,14,9,57
Maharashtra Website Directory : उपयुक्त संकेतस्थळे,Social,Onyx Labs,https://play.google.com/store/apps/dev?id=6989725972739045327,4.7,19,0,0,1,4,14
Baaghi 2 Full Movie 2018 in HD - Tiger Shroff,Entertainment,App X24,https://play.google.com/store/apps/developer?id=App+X24,4.5,12,1,0,0,2,9
Cookie Jam,Puzzle,Cookies Game,https://play.google.com/store/apps/developer?id=Cookies+Game,5,1,0,0,0,0,1
Pradhan Mantri Awas Yojana 2018,House & Home,Godson Technology,https://play.google.com/store/apps/developer?id=Godson+Technology,3.9,10,2,0,1,1,6
Printer Scanner & Photocopier Learning Simulator,Educational,Good Kids Studio,https://play.google.com/store/apps/developer?id=Good+Kids+Studio,4.4,88,10,2,3,5,68
Archer Deer Hunter Free,Action,CoveTech Games,https://play.google.com/store/apps/developer?id=CoveTech+Games,3.8,53,11,0,5,9,28
Chat & Meet New People - Travel App,Social,Glynk,https://play.google.com/store/apps/developer?id=Glynk,4.8,229,2,2,6,25,194
3D Red Flaming Fire Keyboard,Personalization,Real 3D Keyboard Theme,https://play.google.com/store/apps/developer?id=Real+3D+Keyboard+Theme,4.8,422,6,1,16,44,355
Offroad Prado Car Driver Fortuner Racing Simulator,Simulation,Zaptim Games Free Fun & Action & Simulation Apps,https://play.google.com/store/apps/developer?id=Zaptim+Games+Free+Fun+%26+Action+%26+Simulation+Apps,4.6,54,2,0,4,5,43
Love Lover Balls,Puzzle,Free Brain Games 2018,https://play.google.com/store/apps/developer?id=Free+Brain+Games+2018,4.1,30,5,0,2,3,20
Free Tamil Movies Online,Entertainment,vvigox,https://play.google.com/store/apps/developer?id=vvigox,3.6,20,5,0,3,2,10
How to Forward Someone Call to Our Phone,Books & Reference,Appshop Inc.,https://play.google.com/store/apps/developer?id=Appshop+Inc.,4.4,17,1,1,1,1,13
Barber Shop Beard Salon & Hair Cutting Games,Simulation,Appricot Studio - 2D Games,https://play.google.com/store/apps/dev?id=8557704091339578193,4,47,9,1,2,4,31
Free youtube music-mp3 player online,Music & Audio,Yams Developer,https://play.google.com/store/apps/developer?id=Yams+Developer,4.6,43,3,0,2,0,38
Bhunaksha CG,Tools,NIC eGov Mobile Apps,https://play.google.com/store/apps/dev?id=9076108670215860604,4.2,18,1,0,4,2,11
Head Ball 2,Sports,Masomo Gaming,https://play.google.com/store/apps/developer?id=Masomo+Gaming,4.2,94750,14053,2008,3637,6196,68856
Slow Motion Video Maker,Video Players & Editors,Tool Apps Inc.,https://play.google.com/store/apps/developer?id=Tool+Apps+Inc.,3.9,30,6,1,2,1,20
Competitive Reasoning Verbal & Non-Verbal [HINDI],Education,VeeKeey Soft Technologies Pvt.Ltd,https://play.google.com/store/apps/dev?id=4771499715604927032,4.4,23,1,0,2,5,15
Find Lost Phone : Tracke My Lost Phone,Tools,Manya App Studio,https://play.google.com/store/apps/developer?id=Manya+App+Studio,4.7,7,0,0,1,0,6
Neverthink: The TV of the Internet,Entertainment,Neverthink,https://play.google.com/store/apps/developer?id=Neverthink,4.2,146,15,5,11,16,99
"Live Train Location, PNR Status : Indian Rail Info",Productivity,Smile HD Studio,https://play.google.com/store/apps/developer?id=Smile+HD+Studio,3.7,6,2,0,0,0,4
Sports Cars Racing: Chasing Cars on Miami Beach,Racing,Tiny Lab Games,https://play.google.com/store/apps/dev?id=5276432544756442683,4.7,165,4,3,4,14,140
Royal Baby Run - Get That Baby,Arcade,Megus Games,https://play.google.com/store/apps/developer?id=Megus+Games,4.6,34,1,0,4,3,26
Barber Shop Hair Salon Cut Hair Cutting Games 3D,Simulation,Appatrix Games,https://play.google.com/store/apps/dev?id=5717648398602498402,3.5,889,271,27,56,68,467
Elite SWAT - counter terrorist game,Arcade,JOYNOWSTUDIO,https://play.google.com/store/apps/developer?id=JOYNOWSTUDIO,4.5,7940,396,116,431,987,6010
Aadhar Card Online,Tools,Saumya Patel,https://play.google.com/store/apps/dev?id=5895641466624301349,2.5,2,1,0,0,1,0
Whats Web for Whatscan,Tools,Tools And Utility Developer,https://play.google.com/store/apps/developer?id=Tools+And+Utility+Developer,4.8,18,1,0,0,0,17
US Army Cadets Training Game,Simulation,Game Sonics Inc,https://play.google.com/store/apps/dev?id=8570829073560324764,4.4,33,3,0,3,3,24
Robot Unicorn Bike Transform Battleground Royale,Action,Warm Milk Productions,https://play.google.com/store/apps/developer?id=Warm+Milk+Productions,4.6,10,1,0,0,0,9
Dino War,Strategy,KingsGroup Holdings,https://play.google.com/store/apps/developer?id=KingsGroup+Holdings,4,14111,2235,544,981,1173,9178
Critical Counter Night Army Frontline Shooter,Strategy,Tag Action Games,https://play.google.com/store/apps/dev?id=5424941405051437978,4.3,159,20,1,10,16,112
Desi video HD,Entertainment,MayMe,https://play.google.com/store/apps/developer?id=MayMe,4.1,47,3,3,7,6,28
Viking Heroes War,Strategy,Lab Cave Games,https://play.google.com/store/apps/dev?id=5425858462510307651,4.4,108,9,5,4,9,81
Beach Head War,Action,Animal Hunter Simulation 3D,https://play.google.com/store/apps/developer?id=Animal+Hunter+Simulation+3D,4.3,22,4,0,0,0,18
Car Parking Driver 3D,Simulation,Racing Games Android,https://play.google.com/store/apps/developer?id=Racing+Games+Android,4.1,22,3,0,3,2,14
My Little Pet Shop Cash Register Cashier Games,Casual,Crazy Games Lab,https://play.google.com/store/apps/dev?id=7174351842942600674,4.8,19,0,0,0,3,16
Euro Truck Driving Sim 2018 3D,Simulation,Best Free Games.,https://play.google.com/store/apps/developer?id=Best+Free+Games.,4.4,56,3,1,7,6,39
DSLR Camera: Portrait Mode Camera,Photography,Hello App Studio,https://play.google.com/store/apps/developer?id=Hello+App+Studio,4.5,30,3,0,0,4,23
Ramboat 2 - The metal soldier shooting game,Action,Genera Games,https://play.google.com/store/apps/dev?id=7309208351846755609,4.6,939,41,12,40,140,706
Retouch Tool - Photo Retouch Editor,Photography,Mozistar,https://play.google.com/store/apps/developer?id=Mozistar,4.6,34,2,1,1,1,29
Snakes and Ladders,Board,Appindia Technologies,https://play.google.com/store/apps/dev?id=5413790841388155219,4.1,16,1,1,3,2,9
Peace TV Network,Entertainment,Vision 247,https://play.google.com/store/apps/developer?id=Vision+247,5,131,0,0,0,1,130
Pocket TV Mini - Live TV | Movies | Music,Entertainment,Pocket TV Global LLC,https://play.google.com/store/apps/dev?id=5959813584450606872,4.4,65,4,1,5,7,48
Couple Selfie Camera - Tradition Photo Suits,Photography,Pixel Force Pvt Ltd,https://play.google.com/store/apps/developer?id=Pixel+Force+Pvt+Ltd,4.7,38,1,1,1,4,31
Love Caller ID Full Screen - Valentine Caller,Tools,Creative Tech Team,https://play.google.com/store/apps/developer?id=Creative+Tech+Team,4.6,14,0,0,2,2,10
Video downloader-Free All video download,Video Players & Editors,Weather Forecast Radar Channel,https://play.google.com/store/apps/developer?id=Weather+Forecast+Radar+Channel,3.9,42,4,1,13,3,21
Fake GPS Joystick - Mock GPS Location,Tools,SpiceArt,https://play.google.com/store/apps/developer?id=SpiceArt,4.1,112,12,3,15,14,68
Kong rush - banana run,Arcade,Nova Game Lab,https://play.google.com/store/apps/developer?id=Nova+Game+Lab,4.5,26,1,1,1,3,20
Pocket Fairies,Strategy,Huifeng Yu,https://play.google.com/store/apps/developer?id=Huifeng+Yu,4.7,249,8,3,7,18,213
Real Virtual Family Working Mother Game 2018,Simulation,High Flame Studios,https://play.google.com/store/apps/developer?id=High+Flame+Studios,4.1,22,3,1,1,3,14
US Army Missile Truck Transport Cruise Ship Games,Simulation,White Sand - 3D Games Studio,https://play.google.com/store/apps/dev?id=6997325743603268469,4.1,13,2,1,0,1,9
Car Multi Parking,Simulation,Gaming World Inc.,https://play.google.com/store/apps/dev?id=5367497935076945448,4.5,68,5,3,1,0,59
Army Anti-Terrorism Sniper Strike - SWAT Shooter,Action,Thunderstorm Studio - Free Fun Games,https://play.google.com/store/apps/developer?id=Thunderstorm+Studio+-+Free+Fun+Games,4.3,135,8,5,15,11,96
Video Song Status - 30 Seconds Lyrical Videos,Entertainment,Hello App Studio,https://play.google.com/store/apps/developer?id=Hello+App+Studio,4.8,20,0,0,1,2,17
Car And Furious - Crash Car,Arcade,ZokoGame,https://play.google.com/store/apps/developer?id=ZokoGame,4.3,20,2,0,1,3,14
Army Anti-Terrorism Sniper Strike - SWAT Shooter,Action,Thunderstorm Studio - Free Fun Games,https://play.google.com/store/apps/developer?id=Thunderstorm+Studio+-+Free+Fun+Games,4.3,135,8,5,15,11,96
DSLR Camera: Portrait Mode Camera,Photography,Hello App Studio,https://play.google.com/store/apps/developer?id=Hello+App+Studio,4.5,30,3,0,0,4,23
HD Free Movies,Entertainment,vvigox,https://play.google.com/store/apps/developer?id=vvigox,3.8,43,9,1,2,7,24
Ludo,Board,Hadiware,https://play.google.com/store/apps/developer?id=Hadiware,4.9,32,0,0,2,0,30
Bandbudh aur Budbak,Entertainment,Vandana Kurnani,https://play.google.com/store/apps/developer?id=Vandana+Kurnani,4.8,113,3,0,0,5,105
Contacts Backup - Contact Transfer & Recovery,Tools,"Background Changer, Eraser & Booth Photo Editor","https://play.google.com/store/apps/developer?id=Background+Changer,+Eraser+%26+Booth+Photo+Editor",4.3,21,2,0,2,3,14
WebCloner n Scanner,Tools,John Piter,https://play.google.com/store/apps/developer?id=John+Piter,4.3,92,5,1,14,17,55
Ripple Block Chain Keyboard,Personalization,2018 Supernova Keyboard Theme,https://play.google.com/store/apps/developer?id=2018+Supernova+Keyboard+Theme,4.6,470,6,3,34,64,363
Off Road Monster Truck : Ford Raptor Xtreme Racing,Racing,EDGE GAMING STUDIO,https://play.google.com/store/apps/dev?id=7544410574106778247,4.8,37,0,1,1,2,33
Coloring Pages - create unlimited coloring pages,Entertainment,Jasmyn Mobile Studios,https://play.google.com/store/apps/developer?id=Jasmyn+Mobile+Studios,4.1,7,1,0,1,0,5
Transforming Revengers Robot,Simulation,TAG Robots Simulation Games,https://play.google.com/store/apps/developer?id=TAG+Robots+Simulation+Games,4.3,72,7,3,4,6,52
US Sniper Front Survival Attack 3D,Action,IBM Games,https://play.google.com/store/apps/developer?id=IBM+Games,3.9,36,6,2,4,1,23
New KineMaster video editor tips,Books & Reference,android game face,https://play.google.com/store/apps/developer?id=android+game+face,3.7,118,24,4,15,10,65
"Private contest and Tips - Dream11, Halaplay",Events,Diva Raina,https://play.google.com/store/apps/developer?id=Diva+Raina,4.8,20,0,0,1,1,18
Mission IGI 2 - US Army FPS Commando Hijack Rescue,Action,The New Games,https://play.google.com/store/apps/dev?id=4825759589373417834,4.4,144,14,2,7,11,110
US Army Transport Game: Military Cargo Plane Games,Simulation,BrilliantLogic Games,https://play.google.com/store/apps/developer?id=BrilliantLogic+Games,4.7,33,0,1,2,3,27
GPS Route Finder & Transit: Maps Navigation Live,Maps & Navigation,Mindsol Maps & Navigation - GPS Route Finder,https://play.google.com/store/apps/developer?id=Mindsol+Maps+%26+Navigation+-+GPS+Route+Finder,4.5,105,7,1,3,18,76
Stock Car Racing 2018,Racing,Tap - Free Games,https://play.google.com/store/apps/developer?id=Tap+-+Free+Games,4.2,158,17,4,12,16,109
Facebook Local,Social,Facebook,https://play.google.com/store/apps/developer?id=Facebook,4.1,2120,249,89,164,279,1339
DSLR Camera Effect - Blur Image Background,Photography,Retro App Club,https://play.google.com/store/apps/developer?id=Retro+App+Club,3.9,60,11,1,8,5,35
Channel List for Jio TV & Reliance Digital TV,Entertainment,go100mobileapps,https://play.google.com/store/apps/developer?id=go100mobileapps,5,23,0,0,0,1,22
Offroad Cargo Truck Drive Simulator 2018,Simulation,Curvee Tech,https://play.google.com/store/apps/developer?id=Curvee+Tech,4.4,62,5,0,6,7,44
Super Spider Shooting Battle - Hero vs Gangsters,Action,2K18 games,https://play.google.com/store/apps/developer?id=2K18+games,4.5,73,4,3,2,7,57
Sports Car Parking,Simulation,Racing Games Android,https://play.google.com/store/apps/developer?id=Racing+Games+Android,4.4,18,1,1,2,0,14
Yowhats plus 2018,Books & Reference,com.dev.app,https://play.google.com/store/apps/developer?id=com.dev.app,4.4,92,9,2,3,9,69
Offroad Driving Adventure : Jeep Stunt 2018,Simulation,Model Games Studio,https://play.google.com/store/apps/dev?id=5542963294365993079,4.7,33,1,1,0,3,28
Music App Download,Music & Audio,Royal Graphics Games,https://play.google.com/store/apps/developer?id=Royal+Graphics+Games,4.6,10,1,0,0,0,9
Block Puzzle Jewel,Puzzle,Leaf Cottage,https://play.google.com/store/apps/developer?id=Leaf+Cottage,4.8,12,0,0,0,2,10
Birthday Video Maker,Video Players & Editors,Creative App Solution,https://play.google.com/store/apps/developer?id=Creative+App+Solution,4.9,55,0,0,0,5,50
Brain Box On Physics Truck,Puzzle,Game Mobi Plus,https://play.google.com/store/apps/developer?id=Game+Mobi+Plus,4.2,384,41,12,33,43,255
DNP Telugu - Daily Current Affairs,News & Magazines,MKAB Labs - Pawan,https://play.google.com/store/apps/developer?id=MKAB+Labs+-+Pawan,4.6,28,1,0,0,6,21
Beauty Camera - Best Selfie Camera & Photo Editor,Photography,KXAppCenter.Inc.,https://play.google.com/store/apps/developer?id=KXAppCenter.Inc.,4.7,115,2,0,5,19,89
Emulator for SNES - Arcade Classic Games,Arcade,H2 Coop,https://play.google.com/store/apps/developer?id=H2+Coop,4.6,774,27,10,31,88,618
AppLock - Emoji Theme,Tools,SailingLab,https://play.google.com/store/apps/developer?id=SailingLab,4.7,33,1,0,2,2,28
TN SSLC Result,Tools,NIC eGov Mobile Apps,https://play.google.com/store/apps/dev?id=9076108670215860604,4.9,31,0,0,1,1,29
"Aadhar Card Update, Download, Status",Tools,Khabari Appz,https://play.google.com/store/apps/developer?id=Khabari+Appz,3.7,24,6,1,2,1,14
"Multi Robot Transform Police Dog, Tiger & Wildcat",Action,Kick Time Studios,https://play.google.com/store/apps/dev?id=7928658162170743765,4.7,12,1,0,0,0,11
Deadly Dinosaur Hunter Deadly Dino Hunter Shores,Simulation,Big Bites Games,https://play.google.com/store/apps/developer?id=Big+Bites+Games,4.6,34,1,0,4,3,26
Excavator Simulator Backhoe Loader Dozer Game,Simulation,TKS Games,https://play.google.com/store/apps/dev?id=4847555176941284705,4.5,109,6,3,7,11,82
New Video Status,Entertainment,VS Solution,https://play.google.com/store/apps/developer?id=VS+Solution,5,6,0,0,0,0,6
Fenomenya,Tools,hkngrpp,https://play.google.com/store/apps/developer?id=hkngrpp,3.4,76,28,1,1,2,44
Mermaid Secrets13-Secret Admirer,Role Playing,"JoyPlus Technology Co., Ltd.","https://play.google.com/store/apps/developer?id=JoyPlus+Technology+Co.,+Ltd.",4.7,1188,32,9,38,75,1034
MP3 audio song download-Songs download app free,Music & Audio,Grape App Infotech,https://play.google.com/store/apps/developer?id=Grape+App+Infotech,4.5,11,0,1,0,3,7
XX video player-HD video player,Video Players & Editors,Fig Studio,https://play.google.com/store/apps/developer?id=Fig+Studio,4.5,13,1,0,1,1,10
Daily Fuel Price - Daily Petrol Diesel Price India,Tools,Most Useful Apps For Android,https://play.google.com/store/apps/developer?id=Most+Useful+Apps+For+Android,4.3,28,3,0,2,4,19
Whats Tracker -  Who Visit my Whatsapp Profile,Entertainment,WJDHEFC,https://play.google.com/store/apps/developer?id=WJDHEFC,3.2,22,9,0,1,2,10
Name & Photo Art Editor,Photography,Visu Entertainment,https://play.google.com/store/apps/developer?id=Visu+Entertainment,4.3,17,0,1,4,1,11
